Date,Open,High,Low,Close,Volume
2017-11-09 00:00:00+00:00,1.01086998,1.01327002,0.996514976,1.008180022,358188000
2017-11-10 00:00:00+00:00,1.006500006,1.024230003,0.995486021,1.006010056,756446016
2017-11-11 00:00:00+00:00,1.005980015,1.02620995,0.995799005,1.008990049,746227968
2017-11-12 00:00:00+00:00,1.00601995,1.105909944,0.967601001,1.012470007,1466060032
2017-11-13 00:00:00+00:00,1.004480004,1.029289961,0.975103021,1.009349942,767884032
2017-11-14 00:00:00+00:00,1.005239964,1.013429999,0.996897995,1.006829977,429857984
2017-11-15 00:00:00+00:00,1.004580021,1.011630058,1.000249982,1.003180027,449671008
2017-11-16 00:00:00+00:00,1.005820036,1.010890007,0.993232012,1.002120018,650278976
2017-11-17 00:00:00+00:00,0.995757997,1.011809945,0.995757997,1.00138998,639398016
2017-11-18 00:00:00+00:00,1.000650048,1.00917995,0.996339977,1.002310038,588136000
2017-11-19 00:00:00+00:00,1.00237,1.007490039,0.996693015,1.002439976,485752992
2017-11-20 00:00:00+00:00,1.001379967,1.002979994,0.996537983,1.001919985,449595008
2017-11-21 00:00:00+00:00,1.003469944,1.011199951,0.988572001,0.99604702,622649024
2017-11-22 00:00:00+00:00,0.997426987,1.003399968,0.99278897,1.000149965,499812000
2017-11-23 00:00:00+00:00,0.998658001,1.006340027,0.992238998,0.994630992,735883008
2017-11-24 00:00:00+00:00,1.004140019,1.007130027,0.988004029,1.002329946,848627968
2017-11-25 00:00:00+00:00,1.002320051,1.009070039,0.995076001,1.005409956,651987968
2017-11-26 00:00:00+00:00,1.004220009,1.017420053,1.000560045,1.008679986,636451968
2017-11-27 00:00:00+00:00,1.006749988,1.020169973,0.99812597,1.001289964,784436992
2017-11-28 00:00:00+00:00,1.002869964,1.006479979,0.996047974,1.000139952,794764032
2017-11-29 00:00:00+00:00,1.000130057,1.048449993,0.955618024,0.99060601,1672120064
2017-11-30 00:00:00+00:00,1.003859997,1.028669953,0.989319026,1.008100033,1043969984
2017-12-01 00:00:00+00:00,1.007200003,1.019209981,0.993043005,1.009780049,749395968
2017-12-02 00:00:00+00:00,1.008949995,1.016770005,0.995611012,0.999653995,679950016
2017-12-03 00:00:00+00:00,1.001019955,1.029539943,0.985319972,1.000659943,946748992
2017-12-04 00:00:00+00:00,1.002449989,1.014050007,0.992132008,1.003669977,668510016
2017-12-05 00:00:00+00:00,1.003509998,1.008370042,0.996457994,1.001970053,814145984
2017-12-06 00:00:00+00:00,0.999759972,1.020040035,0.995840013,1.009909987,1281490048
2017-12-07 00:00:00+00:00,1.007069945,1.076949954,1.001070023,1.031659961,1671609984
2017-12-08 00:00:00+00:00,1.036329985,1.057659984,0.986563027,1.01760006,1993030016
2017-12-09 00:00:00+00:00,1.020580053,1.047260046,0.993560016,1.017130017,1598909952
2017-12-10 00:00:00+00:00,1.022060037,1.044659972,0.971535981,1.017750025,1649500032
2017-12-11 00:00:00+00:00,1.012719989,1.029629946,0.999949992,1.018560052,1542119936
2017-12-12 00:00:00+00:00,1.018820047,1.081670046,1.000869989,1.077880025,2240839936
2017-12-13 00:00:00+00:00,1.080950022,1.088000059,1.019459963,1.027160048,2198139904
2017-12-14 00:00:00+00:00,1.026720047,1.051419973,1.006690025,1.008190036,2336179968
2017-12-15 00:00:00+00:00,1.009819984,1.018730044,0.995525002,1.016100049,2044499968
2017-12-16 00:00:00+00:00,1.017359972,1.01936996,1.001819968,1.007419944,1592729984
2017-12-17 00:00:00+00:00,1.011739969,1.01639998,1.00285995,1.009240031,1931020032
2017-12-18 00:00:00+00:00,1.010519981,1.018300056,0.995739996,1.013020039,2517230080
2017-12-19 00:00:00+00:00,1.01312995,1.033969998,0.996767998,1.01067996,3073860096
2017-12-20 00:00:00+00:00,1.008409977,1.019189954,0.989078999,1.000180006,3751790080
