Date,Open,High,Low,Close,Volume
2018-10-08 00:00:00+00:00,1.004099965,1.007680058,1.001899958,1.002210021,382900
2018-10-09 00:00:00+00:00,1.004269958,1.008329988,1.000030041,1.006860018,108803
2018-10-10 00:00:00+00:00,1.004940033,1.019080043,1.003970027,1.009619951,711783
2018-10-11 00:00:00+00:00,1.009940028,1.031229973,1.001729965,1.009780049,4177290
2018-10-12 00:00:00+00:00,1.00861001,1.018710017,1.001139998,1.012719989,1322240
2018-10-13 00:00:00+00:00,1.014449954,1.020290017,1.003550053,1.007429957,698507
2018-10-14 00:00:00+00:00,1.007259965,1.022510052,1.004920006,1.016309977,982750
2018-10-15 00:00:00+00:00,1.016899943,1.113729954,0.998372018,1.026800036,10660400
2018-10-16 00:00:00+00:00,1.027230024,1.035509944,1.01899004,1.021430016,2124080
2018-10-17 00:00:00+00:00,1.024039984,1.026530027,1.010579944,1.012189984,1102740
2018-10-18 00:00:00+00:00,1.014660001,1.020619988,1.009230018,1.014889956,1182450
2018-10-19 00:00:00+00:00,1.014750004,1.01643002,1.006309986,1.006979942,715078
2018-10-20 00:00:00+00:00,1.007490039,1.013630033,1.002550006,1.00643003,299871
2018-10-21 00:00:00+00:00,1.006819963,1.019610047,1.003200054,1.012899995,509276
2018-10-22 00:00:00+00:00,1.012310028,1.024799943,1.003290057,1.009299994,1211160
2018-10-23 00:00:00+00:00,1.009230018,1.017959952,1.007470012,1.010589957,1503840
2018-10-24 00:00:00+00:00,1.009379983,1.012089968,1.002380013,1.010020018,923940
2018-10-25 00:00:00+00:00,1.010460019,1.013689995,1.001899958,1.007969975,1365520
2018-10-26 00:00:00+00:00,1.006109953,1.015519977,1.003520012,1.011630058,950623
2018-10-27 00:00:00+00:00,1.012079954,1.014889956,1.001070023,1.008239985,712963
2018-10-28 00:00:00+00:00,1.006620049,1.014960051,1.002730012,1.011070013,282707
2018-10-29 00:00:00+00:00,1.010830045,1.019000053,1.00553,1.008370042,1983680
2018-10-30 00:00:00+00:00,1.00643003,1.010859966,1.003010035,1.004680037,715882
2018-10-31 00:00:00+00:00,1.00672996,1.008730054,0.994032979,0.996385992,1279360
2018-11-01 00:00:00+00:00,0.996412992,1.018399954,0.991167009,0.992501974,1800480
2018-11-02 00:00:00+00:00,0.992896974,1.00801003,0.988213003,0.999969006,2042390
2018-11-03 00:00:00+00:00,1.000280023,1.008299947,0.997810006,1.003790021,1402480
2018-11-04 00:00:00+00:00,1.004009962,1.008090019,0.982746005,0.997668982,2144200
2018-11-05 00:00:00+00:00,0.996996999,1.007449985,0.996702015,0.998748004,1287400
2018-11-06 00:00:00+00:00,1.002490044,1.005059958,0.997110009,1.000519991,2241070
2018-11-07 00:00:00+00:00,1.001440048,1.011610031,0.997180998,1.004299998,2589880
2018-11-08 00:00:00+00:00,1.003829956,1.007210016,0.99862498,1.00383997,3423190
2018-11-09 00:00:00+00:00,1.004070044,1.013610005,1.001940012,1.008039951,3478250
2018-11-10 00:00:00+00:00,1.00711,1.029729962,0.99585402,1.010959983,2497760
2018-11-11 00:00:00+00:00,1.012639999,1.019930005,0.996740997,1.009009957,4726130
2018-11-12 00:00:00+00:00,1.008559942,1.015140057,1.00059998,1.013200045,6446540
2018-11-13 00:00:00+00:00,1.008260012,1.022230029,0.999477029,1.012820005,6483310
2018-11-14 00:00:00+00:00,1.017629981,1.043339968,0.999077022,1.023069978,24013300
2018-11-15 00:00:00+00:00,1.020670056,1.061390042,1.007850051,1.018309951,18776600
2018-11-16 00:00:00+00:00,1.017120004,1.039409995,1.006180048,1.03026998,9247040
