Date,Open,High,Low,Close,Volume
2017-11-09 00:00:00+00:00,0.217911005,0.221790999,0.214865997,0.217488006,147916992
2017-11-10 00:00:00+00:00,0.218255997,0.219068006,0.205259994,0.206483006,141032992
2017-11-11 00:00:00+00:00,0.205947995,0.214456007,0.205458999,0.210429996,134503008
2017-11-12 00:00:00+00:00,0.210214004,0.210214004,0.195389003,0.197338998,251175008
2017-11-13 00:00:00+00:00,0.197472006,0.204080999,0.197456002,0.203442007,132567000
2017-11-14 00:00:00+00:00,0.203678995,0.213692993,0.203678995,0.209824994,127361000
2017-11-15 00:00:00+00:00,0.208937004,0.213104993,0.208058,0.212955996,100294000
2017-11-16 00:00:00+00:00,0.212654993,0.271789998,0.209287003,0.227107003,1022579968
2017-11-17 00:00:00+00:00,0.224767998,0.239409,0.220273003,0.226581007,397071008
2017-11-18 00:00:00+00:00,0.226547003,0.230398998,0.222398996,0.228626996,144298000
2017-11-19 00:00:00+00:00,0.228139997,0.236230999,0.226036996,0.231015995,193808000
2017-11-20 00:00:00+00:00,0.231335998,0.243430004,0.230917007,0.238758996,214663008
2017-11-21 00:00:00+00:00,0.237977996,0.240973994,0.227200001,0.233271003,217851008
2017-11-22 00:00:00+00:00,0.232641995,0.240848005,0.232317001,0.238858998,167078000
2017-11-23 00:00:00+00:00,0.238991007,0.250095993,0.237304002,0.242402002,240684992
2017-11-24 00:00:00+00:00,0.242851004,0.245388001,0.238420993,0.244642004,211486000
2017-11-25 00:00:00+00:00,0.244177997,0.255699992,0.243584007,0.252393007,212592992
2017-11-26 00:00:00+00:00,0.252914011,0.252914011,0.248588994,0.248817995,133297000
2017-11-27 00:00:00+00:00,0.248304993,0.254732996,0.247860998,0.253926992,196735008
2017-11-28 00:00:00+00:00,0.254036993,0.301084012,0.253414989,0.299151987,720742976
2017-11-29 00:00:00+00:00,0.297867,0.297867,0.239409,0.243064001,541177984
2017-11-30 00:00:00+00:00,0.246433005,0.261523992,0.229586005,0.250878006,270907008
2017-12-01 00:00:00+00:00,0.250351995,0.258828014,0.239437997,0.255699009,182992000
2017-12-02 00:00:00+00:00,0.255656004,0.259218007,0.250755996,0.255492002,118250000
2017-12-03 00:00:00+00:00,0.25553,0.263072014,0.247391,0.252557993,134710000
2017-12-04 00:00:00+00:00,0.252918988,0.255362004,0.247160003,0.253571004,104650000
2017-12-05 00:00:00+00:00,0.253598005,0.253987998,0.245233998,0.246101007,174591008
2017-12-06 00:00:00+00:00,0.245416,0.245704994,0.227742001,0.232544005,274526016
2017-12-07 00:00:00+00:00,0.232622996,0.233759999,0.221340001,0.222822994,275204992
2017-12-08 00:00:00+00:00,0.223636001,0.278672993,0.222167999,0.252124995,660172032
